iter	Logloss
0	0.6800661389
1	0.6662010046
2	0.6530013838
3	0.6405611504
4	0.6287729464
5	0.6154830335
6	0.6069688809
7	0.5950938544
8	0.5845749056
9	0.5749754289
10	0.5655577414
11	0.5527868785
12	0.5448126687
13	0.5345132829
14	0.5283151843
15	0.5209721964
16	0.51164979
17	0.5020604736
18	0.4921671953
19	0.486989259
20	0.4796342592
21	0.4723366229
22	0.4669950425
23	0.4599913642
24	0.4538237888
25	0.4455109489
26	0.4377858907
27	0.4328341109
28	0.4250353679
29	0.4192108099
30	0.4150900597
31	0.4100711579
32	0.4039006657
33	0.3987204616
34	0.3930448292
35	0.3882660194
36	0.3840070986
37	0.3788893593
38	0.3734057177
39	0.3698394674
40	0.365533214
41	0.3597140066
42	0.354665077
43	0.3510957419
44	0.3460959212
45	0.3428201022
46	0.3382581983
47	0.3339567906
48	0.3290654717
49	0.3257951316
50	0.3223611977
51	0.3192055112
52	0.3164917221
53	0.3131680648
54	0.3105019726
55	0.3070905253
56	0.3031395953
57	0.3002844668
58	0.2970061957
59	0.2939911589
60	0.2907809548
61	0.2877527148
62	0.285881568
63	0.2816974385
64	0.2781522423
65	0.2753347525
66	0.272736579
67	0.2699903197
68	0.2662370442
69	0.2636102326
70	0.2619423794
71	0.2590849503
72	0.256341719
73	0.2536155082
74	0.251880803
75	0.2497091602
76	0.2470963856
77	0.2435783459
78	0.2412573503
79	0.2393298234
80	0.2376633681
81	0.2353891878
82	0.2323990834
83	0.2290934153
84	0.2267506592
85	0.2242881765
86	0.222593512
87	0.2200118252
88	0.2188350202
89	0.2166625904
90	0.2153792193
91	0.2134659853
92	0.2112378407
93	0.2086942259
94	0.2072652788
95	0.2051007192
96	0.2034877749
97	0.2020211037
98	0.2002131776
99	0.1987416571
100	0.1969905448
101	0.1949003041
102	0.1934644403
103	0.1913469043
104	0.1901103409
105	0.1888174236
106	0.1869956689
107	0.1850334508
108	0.1832180865
109	0.1816460543
110	0.1805382023
111	0.1788709125
112	0.1773883787
113	0.17554891
114	0.1746999443
115	0.1736880281
116	0.172599829
117	0.1716747515
118	0.170075366
119	0.1692324505
120	0.1678880664
121	0.1665399317
122	0.1650734108
123	0.1644153514
124	0.1632998304
125	0.1621110646
126	0.1612776989
127	0.1600350809
128	0.1589540075
129	0.1576293699
130	0.1563142895
131	0.1547943634
132	0.1535344224
133	0.1523855557
134	0.1514224439
135	0.1504113596
136	0.1493826377
137	0.1481862773
138	0.1471017485
139	0.1464220655
140	0.1451950427
141	0.1438333625
142	0.1429477656
143	0.1413848401
144	0.1404822053
145	0.1397281902
146	0.138943365
147	0.1382719096
148	0.1372768719
149	0.1361990681
150	0.1351122896
151	0.1343618676
152	0.1334280104
153	0.1325672319
154	0.131487957
155	0.1301521792
156	0.1294299861
157	0.1285619501
158	0.1275769309
159	0.1263527082
160	0.1256087043
161	0.1252615417
162	0.1243784863
163	0.1238138517
164	0.1232257564
165	0.1225757332
166	0.1217368336
167	0.1208459653
168	0.1197894643
169	0.1187869722
170	0.1180723807
171	0.117263383
172	0.1160502744
173	0.1157596366
174	0.1148752901
175	0.1143168021
176	0.1137419488
177	0.113052064
178	0.1121954304
179	0.1114886943
180	0.1109859801
181	0.1100584266
182	0.1096067398
183	0.1089742816
184	0.1081964361
185	0.10754891
186	0.1067627747
187	0.1060466479
188	0.1051328754
189	0.1042167445
190	0.1036236053
191	0.1029728212
192	0.1025194323
193	0.1019378502
194	0.1014703445
195	0.100599214
196	0.1000063496
197	0.09959616165
198	0.09881242149
199	0.09820433206
200	0.09768245083
201	0.0971532783
202	0.09634466535
203	0.09580713106
204	0.09530617676
205	0.09467912838
206	0.09408015848
207	0.0936281049
208	0.09323794834
209	0.0925588766
210	0.09191569177
211	0.09141923174
212	0.09081509413
213	0.0903913947
214	0.08976168175
215	0.08922100197
216	0.088762072
217	0.08827440551
218	0.08756313947
219	0.08681186386
220	0.08606392155
221	0.08549302235
222	0.08522100504
223	0.08477656548
224	0.08444110776
225	0.08413400818
226	0.08368414636
227	0.08313582492
228	0.0826987897
229	0.08210296479
230	0.08145390281
231	0.08089980111
232	0.07989335223
233	0.07925842015
234	0.07903393103
235	0.07858537771
236	0.07812162506
237	0.07761107769
238	0.07699553636
239	0.07651902886
240	0.07599524909
241	0.07543776409
242	0.07515056295
243	0.07482627423
244	0.0743549646
245	0.07387535719
246	0.07342484631
247	0.07285255846
248	0.0722456565
249	0.07195429231
250	0.07162131934
251	0.07121245022
252	0.07094208225
253	0.07033452333
254	0.06995333955
255	0.06942125039
256	0.06894625509
257	0.06857530615
258	0.06800535922
259	0.06750831307
260	0.06720142808
261	0.06666061059
262	0.06604309288
263	0.06551569204
264	0.06500226078
265	0.06460711141
266	0.06412684211
267	0.06372020298
268	0.06340832884
269	0.06307293792
270	0.06267660405
271	0.06233805558
272	0.06181099638
273	0.0612532222
274	0.0608985017
